date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:55	308881/308881	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2008:23:10%20GMT	https://vieted.com/	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/index.html	(from )
18:09:55	110/110	---M--	200	added ('OK')	text/plain	etag:%225f7401f7-6e%22	https://vieted.com/robots.txt		(from )
18:09:55	126866/126866	---MC-	200	added ('OK')	application/javascript	date:Sat,%2026%20Aug%202023%2009:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-T7KFVG4	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/www.googleoptimize.com/optimizec57d.js	(from https://vieted.com/)
18:09:55	170/170	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2026%20Aug%202023%2011:09:55%20GMT	https://vieted.com/xmlrpc.php	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/xmlrpc.php	(from https://vieted.com/)
18:09:57	105782/105782	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Aug%202023%2011:09:56%20GMT	https://vieted.com/404	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/404	(from https://vieted.com/)
18:09:57	815063/815063	---MCZ	200	added ('OK')	text/css	etag:W/%2264d9b602-c6fd7%22	https://vieted.com/wp-content/cache/autoptimize/css/autoptimize_d306446929977abe79c4c073644e9881.css	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/cache/autoptimize/css/autoptimize_d306446929977abe79c4c073644e9881.css	(from https://vieted.com/)
18:09:57	15195/15195	---MCZ	200	added ('OK')	text/css	etag:W/%2264d9b541-3b5b%22	https://vieted.com/wp-content/cache/autoptimize/css/autoptimize_83ea3262b3008f30c6972a4953356831.css	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/cache/autoptimize/css/autoptimize_83ea3262b3008f30c6972a4953356831.css	(from https://vieted.com/)
18:09:58	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2011:09:57%20GMT	http://vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.eot	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.5.delayed	(from https://vieted.com/)
18:09:58	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2011:09:58%20GMT	http://vieted.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://vieted.com/)
18:09:58	3142/3142	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2260755701-c46%22	https://vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.eot	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.eot	(from https://vieted.com/)
18:09:59	68/68	---M--	200	added ('OK')	image/png	etag:%226008ee97-44%22	https://vieted.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://vieted.com/)
18:09:59	499/499	---MCZ	200	added ('OK')	text/css	etag:W/%2264d9b540-1f3%22	https://vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_f71529eafd6e909d68515f71fad98d64.css?ver=1.5.7	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_f71529eafd6e909d68515f71fad98d6400e2.css	(from https://vieted.com/)
18:09:59	1842/1842	---MCZ	200	added ('OK')	text/css	etag:W/%2264d9b540-732%22	https://vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_98b1cbbfbeecb49e97ace2a9c0fb03ad.css?ver=1617177693	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_98b1cbbfbeecb49e97ace2a9c0fb03ad50a9.css	(from https://vieted.com/)
18:09:59	69887/69887	---MCZ	200	added ('OK')	text/css	etag:W/%2264db3d16-110ff%22	https://vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_94c96cf89fadae9a18509738dd380afc.css?ver=1692089621	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/cache/autoptimize/css/autoptimize_single_94c96cf89fadae9a18509738dd380afc5a7e.css	(from https://vieted.com/)
18:09:59	662/662	---M--	200	added ('OK')	image/png	etag:%225fb3783e-296%22	https://vieted.com/wp-content/plugins/rocket-lazy-load/assets/img/youtube.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/plugins/rocket-lazy-load/assets/img/youtube.png	(from https://vieted.com/)
18:10:00	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%226008f82f-15d98%22	https://vieted.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://vieted.com/)
18:10:01	56767/56767	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2271b386d2bd72cae4954b7b9df8779e17%22	https://vieted.com/feed/	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/feed/index.html	(from https://vieted.com/)
18:10:01	1727/1727	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22596d37f7f7f9e0c91fe68d0b018ed3cb%22	https://vieted.com/comments/feed/	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/comments/feed/index.html	(from https://vieted.com/)
18:10:01	175093/175093	---MCZ	200	added ('OK')	application/json	date:Sat,%2026%20Aug%202023%2011:10:01%20GMT	https://vieted.com/wp-json/	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-json/index.html	(from https://vieted.com/)
18:10:02	154817/154817	---MCZ	200	added ('OK')	application/json	date:Sat,%2026%20Aug%202023%2011:10:01%20GMT	https://vieted.com/wp-json/wp/v2/pages/3293	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-json/wp/v2/pages/3293.json	(from https://vieted.com/)
18:10:02	170/170	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2026%20Aug%202023%2011:10:01%20GMT	https://vieted.com/xmlrpc.php?rsd	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/xmlrpc0db0.php	(from https://vieted.com/)
18:10:02	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225d48ee84-415%22	https://vieted.com/wp-includes/wlwmanifest.xml	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-includes/wlwmanifest.xml	(from https://vieted.com/)
18:10:03	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%226497b584-1ada%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://vieted.com/)
18:10:03	2076/2076	---M--	200	added ('OK')	application/font-woff	etag:%2260755701-81c%22	https://vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.woff	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/themes/zohar/fonts/theme-font/Flaticon.woff	(from https://vieted.com/)
18:10:03	656800/656800	---M--	200	added ('OK')	application/octet-stream	etag:%2260015f64-a05a0%22	https://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Bold.ttf	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Bold.ttf	(from https://vieted.com/)
18:10:03	659984/659984	---M--	200	added ('OK')	application/octet-stream	etag:%2260015f64-a1210%22	https://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Medium.ttf	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Medium.ttf	(from https://vieted.com/)
18:10:03	662640/662640	---M--	200	added ('OK')	application/octet-stream	etag:%2260015f64-a1c70%22	https://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Regular.ttf	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Regular.ttf	(from https://vieted.com/)
18:10:04	207956/207956	---M--	200	added ('OK')	application/octet-stream	etag:%2260015f64-32c54%22	https://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Light.ttf	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Light.ttf	(from https://vieted.com/)
18:10:04	190344/190344	---M--	200	added ('OK')	application/octet-stream	etag:%2260015f64-2e788%22	https://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Black.ttf	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Black.ttf	(from https://vieted.com/)
18:10:04	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202023%2011:10:04%20GMT	https://sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_32,h_32/https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-32x32.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_32,h_32/https_/vieted.com/wp-content/uploads/2020/07/cropped-favicon-32x32.18.delayed	(from https://vieted.com/)
18:10:04	701/701	---M--	200	added ('OK')	image/png	etag:%225f0ee05c-2bd%22	https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-32x32.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/2020/07/cropped-favicon-32x32.png	(from https://vieted.com/)
18:10:05	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202023%2011:10:04%20GMT	https://sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_192,h_192/https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-192x192.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_192,h_192/https_/vieted.com/wp-content/uploads/2020/07/cropped-favicon-192x192.1a.delayed	(from https://vieted.com/)
18:10:05	6059/6059	---M--	200	added ('OK')	image/png	etag:%225f0ee050-17ab%22	https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-192x192.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/2020/07/cropped-favicon-192x192.png	(from https://vieted.com/)
18:10:05	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202023%2011:10:05%20GMT	https://sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_180,h_180/https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-180x180.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/sp-ao.shortpixel.ai/client/q_glossy,ret_img,w_180,h_180/https_/vieted.com/wp-content/uploads/2020/07/cropped-favicon-180x180.png	(from https://vieted.com/)
18:10:05	5738/5738	---M--	200	added ('OK')	image/png	etag:%225f0ee050-166a%22	https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-180x180.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/2020/07/cropped-favicon-180x180.png	(from https://vieted.com/)
18:10:05	9643/9643	---M--	200	added ('OK')	image/png	etag:%225f0ee050-25ab%22	https://vieted.com/wp-content/uploads/2020/07/cropped-favicon-270x270.png	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/2020/07/cropped-favicon-270x270.png	(from https://vieted.com/)
18:10:06	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2011:10:05%20GMT	http://vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Black.eot	C:/Users/ducuo/OneDrive/Desktop/template1/vieted/vieted.com/wp-content/uploads/fonts/8520/Google_Sans/GoogleSans-Black.1f.delayed	(from https://vieted.com/)
